0,1,2,3,4,5,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,216.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,151.0
179.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,206.0,0.0,0.0,0.0,0.0,191.0
0.0,0.0,0.0,0.0,0.0,0.0,40.0
0.0,0.0,0.0,0.0,0.0,0.0,154.0
220.0,0.0,0.0,0.0,0.0,0.0,188.0
0.0,0.0,0.0,0.0,0.0,0.0,240.0
197.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
418.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
173.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
273.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,171.0,0.0
0.0,0.0,0.0,0.0,0.0,169.0,173.0
0.0,0.0,0.0,0.0,0.0,419.0,0.0
0.0,0.0,100.0,0.0,0.0,337.0,0.0
0.0,0.0,0.0,101.0,209.0,124.0,0.0
0.0,0.0,409.0,0.0,92.0,441.0,0.0
0.0,0.0,112.0,232.0,88.0,227.0,1.0
0.0,0.0,459.0,102.0,191.0,133.0,111.0
0.0,0.0,143.0,180.0,122.0,308.0,122.0
134.0,0.0,233.0,146.0,129.0,278.0,127.0
0.0,0.0,155.0,108.0,0.0,628.0,0.0
0.0,0.0,222.0,0.0,119.0,272.0,1925.0
91.0,0.0,0.0,0.0,362.0,280.0,151.0
0.0,0.0,0.0,0.0,196.0,363.0,0.0
394.0,0.0,417.0,118.0,134.0,401.0,0.0
82.0,66.0,0.0,362.0,115.0,125.0,108.0
138.0,107.0,163.0,0.0,0.0,211.0,0.0
262.0,138.0,437.0,0.0,107.0,196.0,211.0
0.0,0.0,0.0,133.0,80.0,34.0,1.0
0.0,0.0,0.0,120.0,0.0,0.0,4.0
379.0,0.0,462.0,0.0,34.0,52.0,132.0
93.0,0.0,586.0,104.0,0.0,299.0,86.0
319.0,0.0,0.0,0.0,138.0,258.0,1.0
0.0,0.0,96.0,0.0,94.0,385.0,5.0
0.0,0.0,0.0,235.0,161.0,302.0,1.0
0.0,0.0,225.0,0.0,144.0,0.0,1.0
0.0,0.0,0.0,0.0,361.0,298.0,0.0
0.0,0.0,0.0,110.0,222.0,185.0,0.0
0.0,0.0,183.0,238.0,0.0,402.0,0.0
115.0,0.0,118.0,96.0,0.0,154.0,0.0
0.0,0.0,0.0,0.0,0.0,608.0,122.0
0.0,0.0,0.0,240.0,120.0,106.0,0.0
0.0,172.0,0.0,139.0,123.0,158.0,0.0
0.0,0.0,147.0,191.0,0.0,171.0,4.0
0.0,0.0,0.0,170.0,0.0,163.0,0.0
255.0,0.0,119.0,0.0,0.0,160.0,5.0
0.0,0.0,164.0,0.0,124.0,154.0,152.0
0.0,0.0,264.0,128.0,150.0,0.0,0.0
0.0,0.0,164.0,0.0,108.0,113.0,515.0
80.0,0.0,179.0,0.0,149.0,72.0,77.0
146.0,0.0,135.0,0.0,228.0,127.0,0.0
0.0,83.0,0.0,127.0,147.0,0.0,1.0
0.0,74.0,0.0,0.0,110.0,131.0,357.0
148.0,175.0,0.0,0.0,0.0,158.0,114.0
0.0,0.0,0.0,84.0,110.0,0.0,566.0
49.0,0.0,160.0,163.0,0.0,465.0,149.0
0.0,0.0,0.0,122.0,0.0,305.0,1.0
